date,close,volume
2023-12-14,12.7,74700
2023-12-15,12.64,35700
2023-12-18,12.0,57100
2023-12-19,12.87,57200
2023-12-20,12.46,74600
2023-12-21,12.76,43000
2023-12-22,12.8,61300
2023-12-26,13.33,77800
2023-12-27,13.69,46800
2023-12-28,13.35,30100
2023-12-29,13.41,37400
2024-01-02,13.39,54900
2024-01-03,13.06,37400
2024-01-04,14.37,90400
2024-01-05,14.33,64600
2024-01-08,14.25,50400
2024-01-09,13.73,26200
2024-01-10,13.73,27400
2024-01-11,14.42,53300
2024-01-12,14.09,48100
2024-01-16,13.13,98100
2024-01-17,13.78,56100
2024-01-18,14.08,35000
2024-01-19,14.16,24100
2024-01-22,13.62,76000
2024-01-23,13.21,44100
2024-01-24,13.15,36600
2024-01-25,13.08,36200
2024-01-26,12.99,22300
2024-01-29,12.62,52000
2024-01-30,12.09,98000
2024-01-31,12.45,61300
2024-02-01,12.62,30300
2024-02-02,12.52,30300
2024-02-05,12.41,39500
2024-02-06,11.81,48600
2024-02-07,11.28,41400
2024-02-08,11.76,64300
2024-02-09,11.37,40400
2024-02-12,11.21,89300
2024-02-13,11.16,47500
2024-02-14,11.26,31100
2024-02-15,11.7,27800
2024-02-16,11.43,25900
2024-02-20,10.4,111900
2024-02-21,10.52,84100
2024-02-22,10.4,47000
2024-02-23,10.51,65900
2024-02-26,12.31,131900
2024-02-27,12.2,70800
2024-02-28,11.72,24400
2024-02-29,12.09,20500
2024-03-01,12.32,31300
2024-03-04,12.27,24100
2024-03-05,12.17,20200
2024-03-06,11.92,33200
2024-03-07,11.62,29800
2024-03-08,11.56,14100
2024-03-11,10.7,48600
2024-03-12,11.04,66300
2024-03-13,11.16,32200
2024-03-14,11.23,17400
2024-03-15,10.99,32000
2024-03-18,10.61,68500
2024-03-19,10.89,34500
2024-03-20,13.58,226800
2024-03-21,14.76,175400
2024-03-22,16.49,241500
2024-03-25,17.51,262600
2024-03-26,19.16,202300
2024-03-27,19.33,222800
2024-03-28,17.22,246600
2024-04-01,18.9,145700
2024-04-02,18.55,135800
2024-04-03,18.98,108600
2024-04-04,18.44,79100
2024-04-05,20.37,220500
2024-04-08,20.15,173000
2024-04-09,21.39,589300
2024-04-10,21.22,184900
2024-04-11,21.02,115200
2024-04-12,20.68,105500
2024-04-15,20.22,101000
2024-04-16,20.44,82300
2024-04-17,19.99,129000
2024-04-18,19.12,170600
2024-04-19,19.4,77700
2024-04-22,19.9,94300
2024-04-23,20.47,129500
2024-04-24,21.43,165500
2024-04-25,21.49,80200
2024-04-26,24.87,364100
2024-04-29,20.01,647400
2024-04-30,20.45,184800
2024-05-01,20.78,95200
2024-05-02,24.0,273600
2024-05-03,24.35,197400
2024-05-06,24.63,345400
2024-05-07,25.75,191900
2024-05-08,25.6,161400
2024-05-09,27.31,257000
2024-05-10,26.9,215700
2024-05-13,26.77,200200
2024-05-14,24.47,332300
2024-05-15,23.06,410000
2024-05-16,19.21,408100
2024-05-17,18.43,274300
2024-05-20,16.9,419400
2024-05-21,17.23,197900
2024-05-22,15.3,261000
2024-05-23,15.15,168400
2024-05-24,15.48,151600
2024-05-28,15.25,268900
2024-05-29,15.19,122600
2024-05-30,15.68,276800
2024-05-31,15.36,195400
2024-06-03,13.43,538000
2024-06-04,13.67,267400
2024-06-05,12.94,175500
2024-06-06,12.7,169100
2024-06-07,13.12,222200
2024-06-10,13.03,233500
2024-06-11,12.8,136000
2024-06-12,12.55,121000
2024-06-13,12.77,105300
2024-06-14,12.19,149900
2024-06-17,12.9,126400
2024-06-18,13.09,204800
2024-06-20,12.44,210600
2024-06-21,12.37,142800
2024-06-24,12.6,113100
2024-06-25,12.65,147100
2024-06-26,13.01,194400
2024-06-27,12.51,212400
2024-06-28,12.77,664500
2024-07-01,12.3,187400
2024-07-02,12.6,189400
2024-07-03,12.36,61300
2024-07-05,12.31,93300
2024-07-08,12.26,104000
2024-07-09,11.92,107400
2024-07-10,11.96,83700
2024-07-11,11.8,144300
2024-07-12,11.95,98200
2024-07-15,11.94,98500
2024-07-16,12.71,151000
2024-07-17,13.03,149600
2024-07-18,12.26,148000
2024-07-19,12.15,82300
2024-07-22,12.6,145400
2024-07-23,12.63,162800
2024-07-24,12.01,115400
2024-07-25,11.73,101600
2024-07-26,12.08,101800
2024-07-29,11.83,64700
2024-07-30,11.93,95600
2024-07-31,12.33,117100
2024-08-01,11.77,123500
2024-08-02,11.05,93000
2024-08-05,10.86,125800
2024-08-06,10.8,90100
2024-08-07,11.27,96000
2024-08-08,11.34,80900
2024-08-09,11.37,64300
2024-08-12,11.21,112500
2024-08-13,16.66,1262700
2024-08-14,17.8,456200
2024-08-15,19.0,286300
2024-08-16,18.62,333100
2024-08-19,19.8,208100
2024-08-20,19.03,237400
2024-08-21,19.15,107600
2024-08-22,18.57,83300
2024-08-23,19.26,81900
2024-08-26,18.67,87600
2024-08-27,19.05,96100
2024-08-28,18.48,86200
2024-08-29,18.79,141900
2024-08-30,19.18,109600
2024-09-03,20.09,200500
2024-09-04,19.97,173400
2024-09-05,20.91,173700
2024-09-06,20.54,156600
2024-09-09,21.8,176900
2024-09-10,20.59,212200
2024-09-11,21.27,89600
2024-09-12,20.89,115500
2024-09-13,21.82,108100
2024-09-16,21.97,91200
2024-09-17,22.31,111000
2024-09-18,22.13,61400
2024-09-19,21.8,113200
2024-09-20,21.24,93200
2024-09-23,21.5,178000
2024-09-24,26.57,1064100
2024-09-25,26.3,232600
2024-09-26,26.27,166500
2024-09-27,25.97,224100
2024-09-30,25.92,308100
2024-10-01,26.14,241800
2024-10-02,26.31,156600
2024-10-03,26.29,126400
2024-10-04,26.49,91400
2024-10-07,26.4,78900
2024-10-08,26.32,52200
2024-10-09,26.48,130000
2024-10-10,26.63,42100
2024-10-11,26.63,64700
2024-10-14,26.58,46600
2024-10-15,26.39,61600
2024-10-16,26.73,76800
2024-10-17,26.49,46400
2024-10-18,26.4,67600
2024-10-21,26.62,71100
2024-10-22,26.48,31300
2024-10-23,26.55,80800
2024-10-24,26.51,50700
2024-10-25,26.3,106100
2024-10-28,26.37,48000
2024-10-29,26.4,45300
2024-10-30,26.57,78200
2024-10-31,26.61,45200
2024-11-01,26.07,96500
2024-11-04,24.75,104400
2024-11-05,24.84,153100
2024-11-06,25.82,124200
2024-11-07,25.0,143900
2024-11-08,23.06,94600
2024-11-11,24.18,114200
2024-11-12,24.15,139600
2024-11-13,23.39,102500
